DATE,CSUSHPISA
01-01-1987,63.965
01-02-1987,64.424
01-03-1987,64.736
01-04-1987,65.131
01-05-1987,65.563
01-06-1987,66.071
01-07-1987,66.507
01-08-1987,66.937
01-09-1987,67.33
01-10-1987,67.738
01-11-1987,68.106
01-12-1987,68.505
01-01-1988,68.858
01-02-1988,69.262
01-03-1988,69.638
01-04-1988,69.975
01-05-1988,70.425
01-06-1988,70.888
01-07-1988,71.354
01-08-1988,71.8
01-09-1988,72.24
01-10-1988,72.635
01-11-1988,73.071
01-12-1988,73.464
01-01-1989,73.945
01-02-1989,74.381
01-03-1989,74.777
01-04-1989,75.084
01-05-1989,75.306
01-06-1989,75.479
01-07-1989,75.657
01-08-1989,75.834
01-09-1989,76.055
01-10-1989,76.282
01-11-1989,76.52
01-12-1989,76.704
01-01-1990,76.897
01-02-1990,77.053
01-03-1990,77.201
01-04-1990,77.278
01-05-1990,77.297
01-06-1990,77.259
01-07-1990,77.138
01-08-1990,77.008
01-09-1990,76.849
01-10-1990,76.699
01-11-1990,76.37
01-12-1990,76.185
01-01-1991,75.915
01-02-1991,75.733
01-03-1991,75.569
01-04-1991,75.565
01-05-1991,75.764
01-06-1991,75.992
01-07-1991,76.081
01-08-1991,76.109
01-09-1991,76.193
01-10-1991,76.074
01-11-1991,76.013
01-12-1991,76.055
01-01-1992,76.085
01-02-1992,76.155
01-03-1992,76.276
01-04-1992,76.345
01-05-1992,76.398
01-06-1992,76.331
01-07-1992,76.263
01-08-1992,76.23
01-09-1992,76.238
01-10-1992,76.375
01-11-1992,76.558
01-12-1992,76.673
01-01-1993,76.783
01-02-1993,76.836
01-03-1993,76.867
01-04-1993,76.936
01-05-1993,77.037
01-06-1993,77.242
01-07-1993,77.428
01-08-1993,77.612
01-09-1993,77.794
01-10-1993,77.941
01-11-1993,78.147
01-12-1993,78.325
01-01-1994,78.59
01-02-1994,78.726
01-03-1994,78.855
01-04-1994,78.986
01-05-1994,79.221
01-06-1994,79.421
01-07-1994,79.593
01-08-1994,79.78
01-09-1994,79.918
01-10-1994,80.064
01-11-1994,80.149
01-12-1994,80.296
01-01-1995,80.426
01-02-1995,80.528
01-03-1995,80.597
01-04-1995,80.66
01-05-1995,80.703
01-06-1995,80.785
01-07-1995,80.937
01-08-1995,81.109
01-09-1995,81.306
01-10-1995,81.481
01-11-1995,81.618
01-12-1995,81.736
01-01-1996,81.833
01-02-1996,81.953
01-03-1996,82.193
01-04-1996,82.42
01-05-1996,82.609
01-06-1996,82.752
01-07-1996,82.927
01-08-1996,83.085
01-09-1996,83.255
01-10-1996,83.376
01-11-1996,83.551
01-12-1996,83.72
01-01-1997,83.954
01-02-1997,84.18
01-03-1997,84.45
01-04-1997,84.621
01-05-1997,84.86
01-06-1997,85.08
01-07-1997,85.331
01-08-1997,85.573
01-09-1997,85.85
01-10-1997,86.146
01-11-1997,86.632
01-12-1997,87.092
01-01-1998,87.614
01-02-1998,88.002
01-03-1998,88.441
01-04-1998,88.877
01-05-1998,89.363
01-06-1998,89.843
01-07-1998,90.309
01-08-1998,90.784
01-09-1998,91.257
01-10-1998,91.716
01-11-1998,92.198
01-12-1998,92.711
01-01-1999,93.207
01-02-1999,93.67
01-03-1999,94.216
01-04-1999,94.784
01-05-1999,95.343
01-06-1999,95.974
01-07-1999,96.591
01-08-1999,97.218
01-09-1999,97.861
01-10-1999,98.522
01-11-1999,99.154
01-12-1999,99.844
01-01-2000,100.551
01-02-2000,101.339
01-03-2000,102.126
01-04-2000,102.922
01-05-2000,103.677
01-06-2000,104.424
01-07-2000,105.053
01-08-2000,105.768
01-09-2000,106.538
01-10-2000,107.382
01-11-2000,108.301
01-12-2000,109.14
01-01-2001,109.846
01-02-2001,110.499
01-03-2001,111.108
01-04-2001,111.651
01-05-2001,112.163
01-06-2001,112.796
01-07-2001,113.491
01-08-2001,114.167
01-09-2001,114.811
01-10-2001,115.309
01-11-2001,115.857
01-12-2001,116.456
01-01-2002,117.143
01-02-2002,117.845
01-03-2002,118.686
01-04-2002,119.61
01-05-2002,120.724
01-06-2002,121.812
01-07-2002,122.887
01-08-2002,123.83
01-09-2002,124.779
01-10-2002,125.734
01-11-2002,126.669
01-12-2002,127.623
01-01-2003,128.46
01-02-2003,129.355
01-03-2003,130.147
01-04-2003,130.884
01-05-2003,131.734
01-06-2003,132.649
01-07-2003,133.777
01-08-2003,134.968
01-09-2003,136.294
01-10-2003,137.532
01-11-2003,138.793
01-12-2003,140.179
01-01-2004,141.646
01-02-2004,143.191
01-03-2004,145.059
01-04-2004,146.592
01-05-2004,148.185
01-06-2004,149.85
01-07-2004,151.338
01-08-2004,152.634
01-09-2004,154.179
01-10-2004,155.75
01-11-2004,157.527
01-12-2004,159.33
01-01-2005,161.288
01-02-2005,163.344
01-03-2005,165.812
01-04-2005,167.501
01-05-2005,169.35
01-06-2005,171.19
01-07-2005,172.859
01-08-2005,174.443
01-09-2005,176.437
01-10-2005,178.027
01-11-2005,179.68
01-12-2005,180.91
01-01-2006,182.32
01-02-2006,183.287
01-03-2006,184.364
01-04-2006,184.329
01-05-2006,184.156
01-06-2006,183.507
01-07-2006,183.067
01-08-2006,182.596
01-09-2006,182.798
01-10-2006,183.198
01-11-2006,183.609
01-12-2006,184.138
01-01-2007,184.516
01-02-2007,184.598
01-03-2007,184.149
01-04-2007,183.01
01-05-2007,181.6
01-06-2007,180.254
01-07-2007,179.111
01-08-2007,178.117
01-09-2007,177.558
01-10-2007,176.624
01-11-2007,175.147
01-12-2007,174.342
01-01-2008,173.132
01-02-2008,171.54
01-03-2008,170.053
01-04-2008,168.338
01-05-2008,166.659
01-06-2008,165.017
01-07-2008,163.566
01-08-2008,161.988
01-09-2008,160.308
01-10-2008,158.326
01-11-2008,156.141
01-12-2008,153.618
01-01-2009,151.506
01-02-2009,150.014
01-03-2009,148.66
01-04-2009,147.948
01-05-2009,147.695
01-06-2009,148.09
01-07-2009,148.409
01-08-2009,148.277
01-09-2009,148.024
01-10-2009,147.849
01-11-2009,148.134
01-12-2009,147.929
01-01-2010,147.395
01-02-2010,145.631
01-03-2010,145.859
01-04-2010,146.404
01-05-2010,146.394
01-06-2010,145.72
01-07-2010,144.99
01-08-2010,143.915
01-09-2010,143.018
01-10-2010,142.531
01-11-2010,142.172
01-12-2010,142.061
01-01-2011,141.522
01-02-2011,140.351
01-03-2011,139.982
01-04-2011,140.01
01-05-2011,139.905
01-06-2011,139.861
01-07-2011,139.73
01-08-2011,139.308
01-09-2011,138.669
01-10-2011,137.953
01-11-2011,137.153
01-12-2011,136.675
01-01-2012,136.608
01-02-2012,136.534
01-03-2012,137.905
01-04-2012,139.155
01-05-2012,140.155
01-06-2012,141.03
01-07-2012,141.669
01-08-2012,142.281
01-09-2012,142.909
01-10-2012,143.602
01-11-2012,144.586
01-12-2012,145.503
01-01-2013,146.828
01-02-2013,147.784
01-03-2013,149.963
01-04-2013,151.519
01-05-2013,152.849
01-06-2013,154.197
01-07-2013,155.603
01-08-2013,156.966
01-09-2013,158.227
01-10-2013,159.242
01-11-2013,160.074
01-12-2013,160.994
01-01-2014,161.928
01-02-2014,162.527
01-03-2014,163.088
01-04-2014,163.396
01-05-2014,163.663
01-06-2014,164.058
01-07-2014,164.575
01-08-2014,165.217
01-09-2014,165.907
01-10-2014,166.643
01-11-2014,167.337
01-12-2014,168.053
01-01-2015,168.635
01-02-2015,169.132
01-03-2015,169.802
01-04-2015,170.3
01-05-2015,170.883
01-06-2015,171.461
01-07-2015,172.127
01-08-2015,172.938
01-09-2015,173.83
01-10-2015,174.793
01-11-2015,175.74
01-12-2015,176.545
01-01-2016,177.273
01-02-2016,177.653
01-03-2016,178.169
01-04-2016,178.77
01-05-2016,179.433
01-06-2016,180.071
01-07-2016,180.827
01-08-2016,181.855
01-09-2016,182.828
01-10-2016,183.757
01-11-2016,184.766
01-12-2016,185.724
01-01-2017,186.8
01-02-2017,187.316
01-03-2017,187.995
01-04-2017,188.731
01-05-2017,189.625
01-06-2017,190.505
01-07-2017,191.445
01-08-2017,192.681
01-09-2017,193.778
01-10-2017,194.821
01-11-2017,195.961
01-12-2017,197.163
01-01-2018,198.289
01-02-2018,199.212
01-03-2018,199.956
01-04-2018,200.662
01-05-2018,201.439
01-06-2018,202.244
01-07-2018,202.911
01-08-2018,203.728
01-09-2018,204.4
01-10-2018,205.156
01-11-2018,205.681
01-12-2018,206.13
01-01-2019,206.478
01-02-2019,206.791
01-03-2019,207.03
01-04-2019,207.518
01-05-2019,208.169
01-06-2019,208.703
01-07-2019,209.289
01-08-2019,210.173
01-09-2019,210.991
01-10-2019,211.867
01-11-2019,212.793
01-12-2019,213.863
01-01-2020,214.867
01-02-2020,215.724
01-03-2020,216.34
01-04-2020,216.805
01-05-2020,217.023
01-06-2020,217.747
01-07-2020,219.403
01-08-2020,222.525
01-09-2020,225.969
01-10-2020,229.874
01-11-2020,233.206
01-12-2020,236.358
01-01-2021,239.347
01-02-2021,242.132
01-03-2021,245.371
01-04-2021,249.05
01-05-2021,253.477
01-06-2021,258.622
01-07-2021,262.876
01-08-2021,267.067
01-09-2021,270.571
01-10-2021,273.908
01-11-2021,277.207
01-12-2021,281.144
01-01-2022,285.601
01-02-2022,290.813
01-03-2022,296.34
01-04-2022,300.558
01-05-2022,303.887
01-06-2022,305.19
01-07-2022,303.992
01-08-2022,301.704
01-09-2022,299.492
01-10-2022,298.975
01-11-2022,298.123
01-12-2022,297.029
